Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,Status Projek Keseluruhan,Maklumat Pembangunan,Lokasi Projek,Daerah Projek,Negeri Projek,Tarikh Sah Laku Permit Terkini,Scraped_Date,Scraped_Timestamp
1,14677-11 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-11/11-2026/1076(N)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.275333,102.356806",Jasin,Melaka,Mula: 26 Nov 2024   Tamat: 25 Nov 2026,2026-01-04,2026-01-04 05:17:15
2,14677-10 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-10/09-2026/0695(R)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.275333,102.356806",Jasin,Melaka,Mula: 13 Sep 2025   Tamat: 12 Sep 2026,2026-01-04,2026-01-04 05:17:15
3,14677-9 TAMAN SERAMBI GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-9/09-2026/0712(R)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.275333,102.356806",Jasin,Melaka,Mula: 13 Sep 2025   Tamat: 12 Sep 2026,2026-01-04,2026-01-04 05:17:15
4,14677-8 TAMAN ANJUNG GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-8/07-2025/0799(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.274969,102.361947",Jasin,Melaka,Mula: 11 Jul 2023   Tamat: 10 Jul 2025,2026-01-04,2026-01-04 05:17:15
5,14677-7 TAMAN ANJUNG GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-7/02-2024/0293(R)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.274969,102.361947",Jasin,Melaka,Mula: 03 Feb 2023   Tamat: 02 Feb 2024,2026-01-04,2026-01-04 05:17:15
6,14677-6 TAMAN ANJUNG GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-6/09-2023/0606(R)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.274969,102.361947",Jasin,Melaka,Mula: 26 Sep 2022   Tamat: 25 Sep 2023,2026-01-04,2026-01-04 05:17:15
7,14677-5 TAMAN ANJUNG GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-5/08-2022/0362(A)-(L),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.274969,102.361947",Jasin,Melaka,Mula: 29 Ogo 2020   Tamat: 28 Ogo 2022,2026-01-04,2026-01-04 05:17:15
8,14677-4 BINTANG URUSJUTA (M) SDN BHD,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-4/02-2022/01231(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.274969,102.361947",Jasin,Melaka,Mula: 09 Feb 2021   Tamat: 08 Feb 2022,2026-01-04,2026-01-04 05:17:15
9,14677-3 TAMAN ANJUNG GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-3/11-2020/03299(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.274969,102.361947",Jasin,Melaka,Mula: 14 Nov 2019   Tamat: 13 Nov 2020,2026-01-04,2026-01-04 05:17:15
10,14677-2 TAMAN ANJUNG GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-2/07-2020/02401(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.274969,102.361947",Jasin,Melaka,Mula: 19 Jul 2019   Tamat: 18 Jul 2020,2026-01-04,2026-01-04 05:17:15
11,14677-1 TAMAN ANJUNG GAPAM,14677 BINTANG URUSJUTA (M) SDN. BHD.,14677-1/03-2020/01513(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.274969,102.361947",Jasin,Melaka,Mula: 21 Mac 2019   Tamat: 20 Mac 2020,2026-01-04,2026-01-04 05:17:15
